tourney_pk,tourney_id,date_id,tourney_name,surface,draw_size,tourney_level,tourney_spectators,tourney_revenue
2019-W-FC-2019-G1-EPA-B-A-M-GRE-SLO-01D201910208Fed Cup G1 RR: GRE vs SLO,2019-W-FC-2019-G1-EPA-B-A-M-GRE-SLO-01,201910208,Fed Cup G1 RR: GRE vs SLO,Hard,2,D,214,41872.58
2018-M-DC-2018-WG-M-CRO-USA-01D201830914Davis Cup WG SF: CRO vs USA,2018-M-DC-2018-WG-M-CRO-USA-01,201830914,Davis Cup WG SF: CRO vs USA,Clay,4,D,482,100367.99
2017-W-WITF-USA-14A-201760201720501Charleston SC $60K,2017-W-WITF-USA-14A-2017,201720501,Charleston SC $60K,Clay,32,60,3406,853228.3
2017-W-WITF-USA-19A-201725201720619Baton Rouge LA $25K,2017-W-WITF-USA-19A-2017,201720619,Baton Rouge LA $25K,Hard,32,25,3585,802692.76
2016-W-C10-ARG-08A-201610201620606Buenos Aires $10K,2016-W-C10-ARG-08A-2016,201620606,Buenos Aires $10K,Clay,32,10,3368,627532.65
2017-M014I201741016Moscow,2017-M014,201741016,Moscow,Hard,32,I,3233,540924.13
2019-W-ITF-USA-18A-201925201920610W25 Sumter SC,2019-W-ITF-USA-18A-2019,201920610,W25 Sumter SC,Hard,32,25,3945,633259.77
2017-0352M201741030Paris Masters,2017-0352,201741030,Paris Masters,Hard,64,M,4521,732637.33
2021-W-ITF-TUN-15A-202115202120412W15 Monastir,2021-W-ITF-TUN-15A-2021,202120412,W15 Monastir,Hard,32,15,2543,581711.47
2019-W-FC-2019-G2-AM-A-A-M-BOL-PAN-01D201920418Fed Cup G2 RR: BOL vs PAN,2019-W-FC-2019-G2-AM-A-A-M-BOL-PAN-01,201920418,Fed Cup G2 RR: BOL vs PAN,Clay,2,D,144,28154.53
2018-W-WITF-USA-17A-201825201820604Bethany Beach DE $25K,2018-W-WITF-USA-17A-2018,201820604,Bethany Beach DE $25K,Clay,32,25,2320,499987.14
2017-M-DC-2017-WG-M-SRB-ESP-01D201720407Davis Cup WG QF: SRB vs ESP,2017-M-DC-2017-WG-M-SRB-ESP-01,201720407,Davis Cup WG QF: SRB vs ESP,Hard,4,D,416,84187.81
2018-W-WITF-TUN-14A-201815201820416Hammamet $15K,2018-W-WITF-TUN-14A-2018,201820416,Hammamet $15K,Clay,32,15,4072,954139.48
2017-3351C201741002Stockton CH,2017-3351,201741002,Stockton CH,Hard,32,C,3796,542653.29
2020-W-ITF-UAE-01A-2020100202041207W100+H Dubai,2020-W-ITF-UAE-01A-2020,202041207,W100+H Dubai,Hard,32,100,2981,782279.77
2017-W-WITF-FIN-01A-201715201730724Tampere $15K,2017-W-WITF-FIN-01A-2017,201730724,Tampere $15K,Clay,32,15,3052,642479.23
2020-0891A202010203Pune,2020-0891,202010203,Pune,Hard,32,A,3041,575084.37
2017-W-WITF-TUN-36A-201715201741120Hammamet $15K,2017-W-WITF-TUN-36A-2017,201741120,Hammamet $15K,Clay,32,15,3031,584827.75
2016-7542C201630711Winnipeg CH,2016-7542,201630711,Winnipeg CH,Hard,32,C,1738,405708.37
2017-W-WITF-ROU-06A-201715201730724Targu Jiu $15K,2017-W-WITF-ROU-06A-2017,201730724,Targu Jiu $15K,Clay,32,15,3897,546237.3
2016-0894I201620411Bogota,2016-0894,201620411,Bogota,Clay,32,I,2109,321054.6
2016-W-FC-2016-G1-EPA-B-M-GBR-RSA-01D201610204Fed Cup G1 RR: GBR vs RSA,2016-W-FC-2016-G1-EPA-B-M-GBR-RSA-01,201610204,Fed Cup G1 RR: GBR vs RSA,Hard,2,D,178,36990.64
2020-W-ITF-IND-01A-202025202010217W25 Jodhpur,2020-W-ITF-IND-01A-2020,202010217,W25 Jodhpur,Hard,32,25,3357,797966.88
2016-W-FC-2016-WG-M-GER-SUI-01D201610206Fed Cup WG R1: GER vs SUI,2016-W-FC-2016-WG-M-GER-SUI-01,201610206,Fed Cup WG R1: GER vs SUI,Hard,4,D,413,83829.5
2018-W-WITF-KAZ-03A-201815201830910Almaty $15K,2018-W-WITF-KAZ-03A-2018,201830910,Almaty $15K,Clay,32,15,4238,845509.13
2016-M-DC-2016-G1-EPA-M-HUN-SVK-01D201630715Davis Cup G1 R2: HUN vs SVK,2016-M-DC-2016-G1-EPA-M-HUN-SVK-01,201630715,Davis Cup G1 R2: HUN vs SVK,Clay,4,D,345,65458.66
2019-W-FC-2019-G2-EPA-B-M-POR-RSA-01D201910208Fed Cup G2 RR: POR vs RSA,2019-W-FC-2019-G2-EPA-B-M-POR-RSA-01,201910208,Fed Cup G2 RR: POR vs RSA,Hard,2,D,168,32339.62
2019-W-ITF-ROU-05A-201925201930916W25 Arad,2019-W-ITF-ROU-05A-2019,201930916,W25 Arad,Clay,32,25,3338,873879.86
2017-M-DC-2017-WG-M-CZE-AUS-01D201710203Davis Cup WG R1: CZE vs AUS,2017-M-DC-2017-WG-M-CZE-AUS-01,201710203,Davis Cup WG R1: CZE vs AUS,Hard,4,D,352,70985.96
2017-W-WITF-KOR-06A-201715201720612Gimcheon $15K,2017-W-WITF-KOR-06A-2017,201720612,Gimcheon $15K,Hard,32,15,2328,341302.95
2016-M010A201620606s Hertogenbosch,2016-M010,201620606,s Hertogenbosch,Grass,32,A,2366,449800.02
2017-0439A201730717Umag,2017-0439,201730717,Umag,Clay,32,A,2577,476738.34
2019-W-ITF-JPN-14A-201925201930826W25 Nanao,2019-W-ITF-JPN-14A-2019,201930826,W25 Nanao,Carpet,32,25,2719,511462.34
2021-703W202130802San Jose,2021-703,202130802,San Jose,Hard,32,W,3528,778483.09
2017-W-WITF-ROU-08A-201715201730807Arad $15K,2017-W-WITF-ROU-08A-2017,201730807,Arad $15K,Clay,32,15,3003,647207.43
2019-W-ITF-FRA-15A-201960201930916W60 Saint Malo,2019-W-ITF-FRA-15A-2019,201930916,W60 Saint Malo,Clay,32,60,4259,991491.66
2016-W-FC-2016-G1-AO-PP3-4-THA-CHN-01D201610206Fed Cup G1 PM: THA vs CHN,2016-W-FC-2016-G1-AO-PP3-4-THA-CHN-01,201610206,Fed Cup G1 PM: THA vs CHN,Hard,2,D,204,39531.66
2019-W-ITF-SUI-01A-201925201920422W25 Chiasso,2019-W-ITF-SUI-01A-2019,201920422,W25 Chiasso,Clay,32,25,3406,521061.47
2021-W-ITF-ESP-03A-202115202110201W15 Manacor,2021-W-ITF-ESP-03A-2021,202110201,W15 Manacor,Hard,32,15,2379,532134.92
2021-W-ITF-TUN-17A-202115202120426W15 Monastir,2021-W-ITF-TUN-17A-2021,202120426,W15 Monastir,Hard,32,15,2311,446367.21
2019-0315A201930715Newport,2019-0315,201930715,Newport,Grass,32,A,2909,625805.78
2017-W-WITF-ITA-16A-201715201720626Tarvisio $15K,2017-W-WITF-ITA-16A-2017,201720626,Tarvisio $15K,Clay,32,15,3086,570829.76
2017-W-WITF-KOR-08A-201715201730828Yeongwol $15K,2017-W-WITF-KOR-08A-2017,201730828,Yeongwol $15K,Hard,32,15,3581,641173.43
2017-W-WITF-ROU-01A-201715201720612Curtea de Arges $15K,2017-W-WITF-ROU-01A-2017,201720612,Curtea de Arges $15K,Clay,32,15,3869,923132.68
2016-580G201610118Australian Open,2016-580,201610118,Australian Open,Hard,128,G,13004,1725074.22
2018-W-WITF-JPN-08A-201860201820507Fukuoka $60K,2018-W-WITF-JPN-08A-2018,201820507,Fukuoka $60K,Carpet,32,60,3334,565736.53
2019-W-ITF-CZE-01A-201960201920617W60 Stare Splavy,2019-W-ITF-CZE-01A-2019,201920617,W60 Stare Splavy,Clay,32,60,3253,553119.91
2016-0360A201620404Marrakech,2016-0360,201620404,Marrakech,Clay,32,A,3951,873782.92
2016-3627C201630704Todi CH,2016-3627,201630704,Todi CH,Clay,32,C,2591,445299.24
2016-W-FC-2016-G1-EPA-D-M-HUN-BEL-01D201610204Fed Cup G1 RR: HUN vs BEL,2016-W-FC-2016-G1-EPA-D-M-HUN-BEL-01,201610204,Fed Cup G1 RR: HUN vs BEL,Hard,2,D,216,41657.18
2019-1797C201920429Ostrava CH,2019-1797,201920429,Ostrava CH,Clay,64,C,7005,1319287.02
2018-W-WITF-AUS-10A-201860201830924Darwin $60K,2018-W-WITF-AUS-10A-2018,201830924,Darwin $60K,Hard,32,60,2382,491352.73
2018-W-WITF-ITA-15A-201860201820604Brescia $60K,2018-W-WITF-ITA-15A-2018,201820604,Brescia $60K,Clay,32,60,4425,817958.22
2016-W-C10-ITA-16A-201610201630926Santa Margherita Di Pula $10K,2016-W-C10-ITA-16A-2016,201630926,Santa Margherita Di Pula $10K,Clay,32,10,2309,578362.49
2017-1098I201720410Biel,2017-1098,201720410,Biel,Hard,32,I,4113,810873.42
2019-W-ITF-CHN-13A-201925201930701W25 Tianjin,2019-W-ITF-CHN-13A-2019,201930701,W25 Tianjin,Hard,32,25,3155,647352.18
2019-W-ITF-UZB-01A-201925201920422W25 Andijan,2019-W-ITF-UZB-01A-2019,201920422,W25 Andijan,Hard,32,25,3229,736074.35
2017-W-WITF-FRA-09A-201715201710306Amiens $15K,2017-W-WITF-FRA-09A-2017,201710306,Amiens $15K,Clay,32,15,4751,767793.76
2017-W-WITF-THA-02A-201715201720501Hua Hin $15K,2017-W-WITF-THA-02A-2017,201720501,Hua Hin $15K,Hard,32,15,3441,850819.81
2018-M-DC-2018-WG-M-USA-BEL-01D201820406Davis Cup WG QF: USA vs BEL,2018-M-DC-2018-WG-M-USA-BEL-01,201820406,Davis Cup WG QF: USA vs BEL,Hard,4,D,410,78257.44
2016-W-C10-EGY-41A-201610201641024Sharm El Sheikh $10K,2016-W-C10-EGY-41A-2016,201641024,Sharm El Sheikh $10K,Hard,30,10,3271,562405.42
2016-M006M201610307Indian Wells Masters,2016-M006,201610307,Indian Wells Masters,Hard,128,M,18086,2292592.04
2017-M-DC-2017-G1-AO-M-UZB-KOR-01D201710203Davis Cup G1 R1: UZB vs KOR,2017-M-DC-2017-G1-AO-M-UZB-KOR-01,201710203,Davis Cup G1 R1: UZB vs KOR,,4,D,305,60770.44
2016-7563C201630829Curitiba CH,2016-7563,201630829,Curitiba CH,Hard,32,C,2619,548687.93
2019-W-FC-2019-WG-PO-LAT-GER-01D201920419Fed Cup WG R1: LAT vs GER,2019-W-FC-2019-WG-PO-LAT-GER-01,201920419,Fed Cup WG R1: LAT vs GER,Hard,4,D,489,103306.76
2017-W-FC-2017-G2-EPA-A-M-RSA-SLO-01D201720421Fed Cup G2 RR: RSA vs SLO,2017-W-FC-2017-G2-EPA-A-M-RSA-SLO-01,201720421,Fed Cup G2 RR: RSA vs SLO,Hard,2,D,226,42351.73
2016-W-C10-MEX-06A-201610201610328Leon $10K,2016-W-C10-MEX-06A-2016,201610328,Leon $10K,Hard,32,10,3128,707547.15
2017-1607C201730911Banja Luka CH,2017-1607,201730911,Banja Luka CH,Clay,32,C,3442,733522.0
2017-W-WITF-TUN-31A-201715201741016Hammamet $15K,2017-W-WITF-TUN-31A-2017,201741016,Hammamet $15K,Clay,32,15,2913,647322.27
2019-W-FC-2019-G2-EPA-B-M-ISR-POR-01D201910206Fed Cup G2 RR: ISR vs POR,2019-W-FC-2019-G2-EPA-B-M-ISR-POR-01,201910206,Fed Cup G2 RR: ISR vs POR,Hard,2,D,143,27246.36
2018-W-WITF-ESP-04A-201815201810226Palmanova Mallorca $15K,2018-W-WITF-ESP-04A-2018,201810226,Palmanova Mallorca $15K,Clay,32,15,2788,613429.43
2016-W-C10-EGY-27A-201610201630711Sharm El Sheikh $10K,2016-W-C10-EGY-27A-2016,201630711,Sharm El Sheikh $10K,Hard,32,10,2591,410634.86
2016-W-C10-ITA-08A-201610201630718Schio $10K,2016-W-C10-ITA-08A-2016,201630718,Schio $10K,Clay,32,10,2659,393361.98
2020-W-FC-2020-G1-AO-A-M-CHN-UZB-01D202010306Fed Cup G1 RR: CHN vs UZB,2020-W-FC-2020-G1-AO-A-M-CHN-UZB-01,202010306,Fed Cup G1 RR: CHN vs UZB,Hard,2,D,206,42220.67
2018-W-WITF-TUN-08A-201815201810226Hammamet $15K,2018-W-WITF-TUN-08A-2018,201810226,Hammamet $15K,Clay,32,15,2835,698191.98
2018-W-WITF-TUN-16A-201815201820430Hammamet $15K,2018-W-WITF-TUN-16A-2018,201820430,Hammamet $15K,Clay,32,15,3042,424487.95
2019-W-ITF-TUN-09A-201915201910304W15 Tabarka,2019-W-ITF-TUN-09A-2019,201910304,W15 Tabarka,Clay,32,15,1655,314592.46
2016-M-DC-2016-G2-AM-M-PAR-VEN-01D201610304Davis Cup G2 R1: PAR vs VEN,2016-M-DC-2016-G2-AM-M-PAR-VEN-01,201610304,Davis Cup G2 R1: PAR vs VEN,Hard,4,D,368,76623.01
2016-0439A201630718Umag,2016-0439,201630718,Umag,Clay,32,A,2903,500915.34
2016-0692C201620425Tallahassee CH,2016-0692,201620425,Tallahassee CH,Clay,32,C,2542,559012.92
2016-0783C201630725Segovia CH,2016-0783,201630725,Segovia CH,Hard,32,C,2146,425382.91
2021-9351C202130726Trieste CH,2021-9351,202130726,Trieste CH,Clay,32,C,3936,508338.41
2016-W-FC-2016-G2-AM-PPO-VEN-GUA-01D201610206Fed Cup G2 PPO: VEN vs GUA,2016-W-FC-2016-G2-AM-PPO-VEN-GUA-01,201610206,Fed Cup G2 PPO: VEN vs GUA,,2,D,163,32792.15
2016-W-C25-IND-05A-201625201641219Navi Mumbai $25K,2016-W-C25-IND-05A-2016,201641219,Navi Mumbai $25K,Hard,32,25,3698,829485.14
2016-0460C201620509Heilbronn CH,2016-0460,201620509,Heilbronn CH,Clay,32,C,3145,641403.64
2019-W-FC-2019-G1-AM-REL-COL-PUR-01D201910209Fed Cup G1 REL: COL vs PUR,2019-W-FC-2019-G1-AM-REL-COL-PUR-01,201910209,Fed Cup G1 REL: COL vs PUR,Clay,2,D,253,52417.72
2016-W-C10-TUR-02A-201610201610111Antalya $10K,2016-W-C10-TUR-02A-2016,201610111,Antalya $10K,Clay,32,10,3378,599854.91
2019-8297C201941021Hamburg CH,2019-8297,201941021,Hamburg CH,Hard,64,C,7289,1967627.36
2019-7395C201930923Buenos Aires CH,2019-7395,201930923,Buenos Aires CH,Clay,64,C,6791,1724707.91
2018-W-FC-2018-G2-EPA-A-M-DEN-GRE-01D201820420Fed Cup G2 RR: DEN vs GRE,2018-W-FC-2018-G2-EPA-A-M-DEN-GRE-01,201820420,Fed Cup G2 RR: DEN vs GRE,Clay,2,D,302,60516.95
2017-W-WITF-RSA-01A-201715201741120Stellenbosch $15K,2017-W-WITF-RSA-01A-2017,201741120,Stellenbosch $15K,Hard,32,15,3867,809773.54
2018-M035I201830730Washington,2018-M035,201830730,Washington,Hard,32,I,3056,488110.86
2017-W-FC-2017-G1-EPA-PP5-8-HUN-LAT-01D201710211Fed Cup G1 PM: HUN vs LAT,2017-W-FC-2017-G1-EPA-PP5-8-HUN-LAT-01,201710211,Fed Cup G1 PM: HUN vs LAT,Hard,2,D,201,40605.26
2018-W-WITF-TUN-29A-201815201830903Monastir $15K,2018-W-WITF-TUN-29A-2018,201830903,Monastir $15K,Hard,32,15,3725,657354.53
2019-W-ITF-SRB-03A-201915201930826W15 Vrnjacka Banja,2019-W-ITF-SRB-03A-2019,201930826,W15 Vrnjacka Banja,Clay,32,15,3761,796936.48
2020-W-ITF-AUS-01A-202025202010106W25 Canberra (Bendigo),2020-W-ITF-AUS-01A-2020,202010106,W25 Canberra (Bendigo),Hard,32,25,3473,558370.12
2017-W-WITF-BIH-01A-201715201720605Banja Luka $15K,2017-W-WITF-BIH-01A-2017,201720605,Banja Luka $15K,Clay,32,15,3315,820580.57
2017-W-WITF-CHN-06A-201725201720410Nanning $25K,2017-W-WITF-CHN-06A-2017,201720410,Nanning $25K,Hard,32,25,1837,381493.13
2019-W-FC-2019-G1-EPA-A-A-M-RUS-POL-01D201910206Fed Cup G1 RR: RUS vs POL,2019-W-FC-2019-G1-EPA-A-A-M-RUS-POL-01,201910206,Fed Cup G1 RR: RUS vs POL,Hard,2,D,285,52786.17
2017-W-WITF-GRE-10A-201715201741120Heraklion $15K,2017-W-WITF-GRE-10A-2017,201741120,Heraklion $15K,Clay,32,15,2437,500597.65
2021-1536M202120503Madrid Masters,2021-1536,202120503,Madrid Masters,Clay,64,M,6712,1600278.66
2019-7316C201930909Cary CH,2019-7316,201930909,Cary CH,Hard,64,C,6384,1496159.2
2017-W-WITF-EGY-11A-201715201710327Sharm El Sheikh $15K,2017-W-WITF-EGY-11A-2017,201710327,Sharm El Sheikh $15K,Hard,32,15,2585,476377.27
2016-W-C10-CHI-01A-201610201641121Santiago $10K,2016-W-C10-CHI-01A-2016,201641121,Santiago $10K,Clay,32,10,4890,889371.59
2016-W-C10-EGY-24A-201610201620620Sharm El Sheikh $10K,2016-W-C10-EGY-24A-2016,201620620,Sharm El Sheikh $10K,Hard,31,10,2426,571143.25
2018-W-WITF-NOR-02A-201825201841022Oslo $25K,2018-W-WITF-NOR-02A-2018,201841022,Oslo $25K,Hard,32,25,2788,482727.74
2021-W-ITF-TUN-22A-202115202120531W15 Monastir,2021-W-ITF-TUN-22A-2021,202120531,W15 Monastir,Hard,32,15,3050,553419.55
2017-W-WITF-CZE-04A-201780201730724Prague $80K,2017-W-WITF-CZE-04A-2017,201730724,Prague $80K,Clay,32,80,2943,517525.65
2020-W-ITF-USA-07A-202025202010224W25 Rancho Santa Fe CA,2020-W-ITF-USA-07A-2020,202010224,W25 Rancho Santa Fe CA,Hard,32,25,2903,593419.32
2020-7318C202010106Ann Arbor CH,2020-7318,202010106,Ann Arbor CH,Hard,64,C,5846,1572494.73
2016-W-C10-EGY-31A-201610201630808Sharm El Sheikh $10K,2016-W-C10-EGY-31A-2016,201630808,Sharm El Sheikh $10K,Hard,32,10,3033,573193.63
2018-W-WITF-USA-07A-201815201810305Orlando FL $15K,2018-W-WITF-USA-07A-2018,201810305,Orlando FL $15K,Clay,32,15,3444,725522.11
2019-W-ITF-TUN-43A-201915201941021W15 Tabarka,2019-W-ITF-TUN-43A-2019,201941021,W15 Tabarka,Clay,32,15,3251,526822.61
2016-M-DC-2016-G2-EPA-M-RSA-LUX-01D201610304Davis Cup G2 R1: RSA vs LUX,2016-M-DC-2016-G2-EPA-M-RSA-LUX-01,201610304,Davis Cup G2 R1: RSA vs LUX,Hard,4,D,295,63503.34
2017-W-WITF-USA-36A-201725201741009Sumter SC $25K,2017-W-WITF-USA-36A-2017,201741009,Sumter SC $25K,Hard,32,25,3453,582326.18
2018-7880C201810108Bangkok CH,2018-7880,201810108,Bangkok CH,Hard,32,C,2931,553141.92
2016-W-C10-IND-01A-201610201641024Pune $10K,2016-W-C10-IND-01A-2016,201641024,Pune $10K,Hard,32,10,4444,759730.64
2018-W-WITF-CAN-07A-201860201841022Saguenay $60K,2018-W-WITF-CAN-07A-2018,201841022,Saguenay $60K,Hard,32,60,3882,771713.66
2021-0439A202130719Umag,2021-0439,202130719,Umag,Clay,32,A,3330,566722.96
2018-6963C201810219Cuernavaca CH,2018-6963,201810219,Cuernavaca CH,Hard,32,C,2886,615293.26
2016-W-C10-EGY-17A-201610201620502Sharm El Sheikh $10K,2016-W-C10-EGY-17A-2016,201620502,Sharm El Sheikh $10K,Hard,32,10,2506,485555.87
2019-W-ITF-TUN-34A-201915201930819W15 Tabarka,2019-W-ITF-TUN-34A-2019,201930819,W15 Tabarka,Clay,32,15,3322,666684.19
2016-W-C10-FIN-03A-201610201641114Helsinki $10K,2016-W-C10-FIN-03A-2016,201641114,Helsinki $10K,Hard,32,10,3909,881723.71
2019-0405I201930909Hiroshima,2019-0405,201930909,Hiroshima,Hard,32,I,2734,518741.2
2016-0447C201620509Samarkand CH,2016-0447,201620509,Samarkand CH,Clay,32,C,2038,334531.73
2017-W-WITF-ITA-29A-201725201741002Santa Margherita Di Pula $25K,2017-W-WITF-ITA-29A-2017,201741002,Santa Margherita Di Pula $25K,Clay,32,25,3845,711998.76
2018-W-WITF-NED-06A-201815201830827Haren $15K,2018-W-WITF-NED-06A-2018,201830827,Haren $15K,Clay,32,15,2185,474988.91
2017-0363C201741106Knoxville CH,2017-0363,201741106,Knoxville CH,Hard,32,C,3119,514420.33
2017-7438C201710109Bangkok CH,2017-7438,201710109,Bangkok CH,Hard,32,C,2607,432253.11
2018-W-WITF-ITA-41A-201815201841210Solarino $15K,2018-W-WITF-ITA-41A-2018,201841210,Solarino $15K,Carpet,32,15,3087,427503.52
2017-W-WITF-ESP-03A-201715201710220Palmanova Mallorca $15K,2017-W-WITF-ESP-03A-2017,201710220,Palmanova Mallorca $15K,Clay,32,15,4639,1094372.11
2016-W-C10-ITA-05A-201610201620502Santa Margherita Di Pula $10K,2016-W-C10-ITA-05A-2016,201620502,Santa Margherita Di Pula $10K,Clay,30,10,2638,531165.94
2019-W-FC-2019-G1-AM-B-M-BRA-PUR-01D201910207Fed Cup G1 RR: BRA vs PUR,2019-W-FC-2019-G1-AM-B-M-BRA-PUR-01,201910207,Fed Cup G1 RR: BRA vs PUR,Clay,2,D,173,33836.1
2019-W-ITF-POR-04A-201925201920506W25 Obidos,2019-W-ITF-POR-04A-2019,201920506,W25 Obidos,Carpet,32,25,2742,560563.56
2017-W-WITF-HUN-03A-201760201720612Hodmezovasarhely $60K,2017-W-WITF-HUN-03A-2017,201720612,Hodmezovasarhely $60K,Clay,32,60,3005,573165.05
2016-W-C10-AUT-04A-201610201630822Poertschach $10K,2016-W-C10-AUT-04A-2016,201630822,Poertschach $10K,Clay,32,10,2894,577079.75
2017-0806P201730807Toronto,2017-0806,201730807,Toronto,Hard,64,P,6040,1348250.39
2019-M035A201930729Washington,2019-M035,201930729,Washington,Hard,64,A,6392,1337233.1
2019-W-ITF-MEX-12A-201915201920527W15 Cancun,2019-W-ITF-MEX-12A-2019,201920527,W15 Cancun,Hard,32,15,3403,501186.62
2019-W-ITF-NOR-02A-201915201941021W15 Oslo,2019-W-ITF-NOR-02A-2019,201941021,W15 Oslo,Hard,32,15,3858,647238.55
2017-7791C201741002Almaty CH,2017-7791,201741002,Almaty CH,Clay,32,C,5298,1295591.15
2018-W-FC-2018-G1-EPA-D-M-TUR-AUT-01D201810208Fed Cup G1 RR: TUR vs AUT,2018-W-FC-2018-G1-EPA-D-M-TUR-AUT-01,201810208,Fed Cup G1 RR: TUR vs AUT,Hard,2,D,163,32940.82
2017-1083C201730904Dalian,2017-1083,201730904,Dalian,Hard,32,C,3780,766473.92
2020-7085C202030928Biella CH,2020-7085,202030928,Biella CH,Clay,32,C,3772,778623.77
2018-W-WITF-CAN-03A-201825201830709Winnipeg $25K,2018-W-WITF-CAN-03A-2018,201830709,Winnipeg $25K,Hard,32,25,3022,471025.87
2018-W-WITF-HUN-06A-201815201830716Baja $15K,2018-W-WITF-HUN-06A-2018,201830716,Baja $15K,Clay,32,15,2934,435144.45
2019-W-ITF-ITA-23A-201925201930909W25 Santa Margherita Di Pula,2019-W-ITF-ITA-23A-2019,201930909,W25 Santa Margherita Di Pula,Clay,32,25,3423,714636.67
2017-M-DC-2017-G2-AO-M-VIE-HKG-01D201710203Davis Cup G2 R1: VIE vs HKG,2017-M-DC-2017-G2-AO-M-VIE-HKG-01,201710203,Davis Cup G2 R1: VIE vs HKG,,4,D,407,80327.95
2021-W-ITF-ESP-10A-202160202130712W60 Vitoria-Gasteiz,2021-W-ITF-ESP-10A-2021,202130712,W60 Vitoria-Gasteiz,Hard,32,60,3296,562777.21
2017-M001I201710109Sydney,2017-M001,201710109,Sydney,Hard,32,I,4360,826195.71
2019-W-ITF-USA-41A-201980201941021W80 Macon GA,2019-W-ITF-USA-41A-2019,201941021,W80 Macon GA,Hard,32,80,2546,594451.15
2017-7705C201720403Panama City CH,2017-7705,201720403,Panama City CH,Clay,32,C,3453,865207.23
2018-1539C201820423Leon CH,2018-1539,201820423,Leon CH,Hard,32,C,2702,609186.1
2019-M-DC-2019-G2-EPA-M-LTU-MAR-01D201920405Davis Cup G2 R1: LTU vs MAR,2019-M-DC-2019-G2-EPA-M-LTU-MAR-01,201920405,Davis Cup G2 R1: LTU vs MAR,Clay,4,D,354,71981.23
2016-W-C10-CHN-01A-201610201610229Nanjing $10K,2016-W-C10-CHN-01A-2016,201610229,Nanjing $10K,Hard,32,10,3325,745852.05
2019-W-FC-2019-G2-AM-A-PP3-4-BOL-TTO-01D201920420Fed Cup G2 PM: BOL vs TTO,2019-W-FC-2019-G2-AM-A-PP3-4-BOL-TTO-01,201920420,Fed Cup G2 PM: BOL vs TTO,Clay,2,D,142,27487.43
2018-6572C201820423Anning CH,2018-6572,201820423,Anning CH,Clay,32,C,3523,815484.64
2021-W-ITF-RSA-01A-202125202110208W25 Potchefstroom,2021-W-ITF-RSA-01A-2021,202110208,W25 Potchefstroom,Hard,32,25,3252,554139.8
2016-W-C10-USA-04B-201610201630725Austin TX $10K,2016-W-C10-USA-04B-2016,201630725,Austin TX $10K,Hard,32,10,3632,672051.58
2018-W-WITF-AUS-07A-201825201810326Canberra $25K,2018-W-WITF-AUS-07A-2018,201810326,Canberra $25K,Clay,32,25,3050,680340.13
2018-W-WITF-ESP-07A-201825201820514La Bisbal D'Emporda $25K,2018-W-WITF-ESP-07A-2018,201820514,La Bisbal D'Emporda $25K,Clay,32,25,3417,767767.67
2018-W-WITF-ITA-35A-201825201841022Santa Margherita Di Pula $25K,2018-W-WITF-ITA-35A-2018,201841022,Santa Margherita Di Pula $25K,Clay,32,25,2236,480411.62
2017-W-WITF-TUN-11A-201715201710313Hammamet $15K,2017-W-WITF-TUN-11A-2017,201710313,Hammamet $15K,Clay,32,15,3392,572922.73
2017-W-WITF-FRA-12A-201760201720515Saint Gaudens $60K,2017-W-WITF-FRA-12A-2017,201720515,Saint Gaudens $60K,Clay,32,60,2663,530010.76
2018-W-WITF-BEL-04A-201815201830820Wanfercee Baulet $15K,2018-W-WITF-BEL-04A-2018,201830820,Wanfercee Baulet $15K,Clay,32,15,3151,633979.39
2018-W-WITF-CHN-01A-201860201810305Zhuhai $60K,2018-W-WITF-CHN-01A-2018,201810305,Zhuhai $60K,Hard,32,60,3423,582454.19
2017-M-DC-2017-G1-AO-M-NZL-IND-01D201710203Davis Cup G1 R1: NZL vs IND,2017-M-DC-2017-G1-AO-M-NZL-IND-01,201710203,Davis Cup G1 R1: NZL vs IND,,4,D,466,93553.57
2021-W-ITF-ARG-01A-202125202110322W25 Buenos Aires,2021-W-ITF-ARG-01A-2021,202110322,W25 Buenos Aires,Clay,32,25,2743,626955.46
2019-M-DC-2019-FLS-M-ARG-ESP-01D201941122Davis Cup Finals QF: ARG vs ESP,2019-M-DC-2019-FLS-M-ARG-ESP-01,201941122,Davis Cup Finals QF: ARG vs ESP,Hard,4,D,320,64523.12
2018-6590C201830917Sibiu CH,2018-6590,201830917,Sibiu CH,Clay,32,C,2849,759475.32
2020-W-ITF-TUR-09A-202015202010203W15 Antalya,2020-W-ITF-TUR-09A-2020,202010203,W15 Antalya,Clay,32,15,3451,575836.3
2016-W-C10-ESP-03A-201610201610229Tarragona $10K,2016-W-C10-ESP-03A-2016,201610229,Tarragona $10K,Clay,32,10,3297,556997.83
2018-W-WITF-GBR-08A-201825201830806Chiswick $25K,2018-W-WITF-GBR-08A-2018,201830806,Chiswick $25K,Hard,32,25,3211,590697.09
2016-W-C10-SWE-03A-201610201641031Stockholm $10K,2016-W-C10-SWE-03A-2016,201641031,Stockholm $10K,Hard,32,10,4243,660650.36
2020-W-ITF-EGY-22A-202015202041102W15 Sharm El Sheikh,2020-W-ITF-EGY-22A-2020,202041102,W15 Sharm El Sheikh,Hard,32,15,3140,812596.71
