workclass,education
Private,HS-grad
Private,Bachelors
Private,HS-grad
State-gov,Some-college
Private,HS-grad
?,HS-grad
Private,HS-grad
Private,HS-grad
Private,12th
Private,HS-grad
Self-emp-not-inc,Some-college
Private,7th-8th
Private,Bachelors
Local-gov,HS-grad
Private,Some-college
Private,Doctorate
Federal-gov,Some-college
Private,5th-6th
Private,Some-college
Private,Some-college
?,7th-8th
Local-gov,HS-grad
Private,HS-grad
State-gov,Bachelors
Local-gov,HS-grad
Local-gov,Bachelors
Federal-gov,Some-college
Private,Some-college
Private,Some-college
Private,HS-grad
Local-gov,HS-grad
Self-emp-not-inc,Bachelors
Private,Bachelors
Private,Some-college
Self-emp-not-inc,Bachelors
Private,Bachelors
Federal-gov,Some-college
?,Some-college
Private,12th
Private,Some-college
Local-gov,Some-college
Private,Some-college
Private,HS-grad
Private,Some-college
Local-gov,Doctorate
Private,HS-grad
Private,Assoc-voc
Private,HS-grad
Private,HS-grad
Private,HS-grad
Private,Assoc-acdm
Private,HS-grad
Private,Some-college
Private,Some-college
Private,HS-grad
Local-gov,Bachelors
Private,10th
Private,Some-college
Private,Some-college
Self-emp-not-inc,1st-4th
Private,12th
Private,HS-grad
Private,Some-college
Private,Some-college
Private,HS-grad
Private,HS-grad
Local-gov,Assoc-voc
Private,HS-grad
Self-emp-inc,Some-college
Federal-gov,HS-grad
Private,HS-grad
Private,HS-grad
Private,Some-college
Private,Some-college
Private,Assoc-voc
Private,Assoc-voc
Private,Some-college
Private,Assoc-acdm
Private,HS-grad
Private,Some-college
?,Bachelors
?,10th
Private,11th
Private,Some-college
Private,HS-grad
Private,HS-grad
Private,Some-college
Private,11th
Private,7th-8th
Private,Some-college
Local-gov,Doctorate
Private,HS-grad
Private,Some-college
Local-gov,9th
State-gov,HS-grad
Private,Bachelors
Private,Some-college
Private,HS-grad
Private,HS-grad
Private,HS-grad
?,12th
Private,Bachelors
Private,Some-college
Private,Masters
Private,HS-grad
Private,Some-college
Private,10th
Self-emp-not-inc,Some-college
Local-gov,HS-grad
Private,9th
Private,HS-grad
Private,Bachelors
Self-emp-not-inc,Some-college
Private,HS-grad
Federal-gov,HS-grad
?,5th-6th
Self-emp-not-inc,Bachelors
State-gov,Masters
Private,Doctorate
Self-emp-inc,HS-grad
Private,11th
Private,Assoc-voc
Self-emp-not-inc,Assoc-voc
Private,Some-college
Private,Assoc-acdm
Local-gov,11th
Private,1st-4th
?,10th
Private,HS-grad
Private,HS-grad
Private,Bachelors
Private,HS-grad
Private,Bachelors
Private,7th-8th
Private,Bachelors
Private,11th
Private,HS-grad
Private,12th
Private,HS-grad
Private,Prof-school
Local-gov,Bachelors
Private,HS-grad
Self-emp-inc,HS-grad
Private,Some-college
Private,HS-grad
Private,Doctorate
Private,HS-grad
Private,Bachelors
Local-gov,Some-college
Private,Some-college
Private,HS-grad
Private,Some-college
Private,HS-grad
Private,10th
State-gov,Some-college
Private,Bachelors
Private,Some-college
Self-emp-not-inc,HS-grad
Private,11th
Private,Some-college
Private,Some-college
Private,Bachelors
Self-emp-not-inc,Some-college
Private,HS-grad
Federal-gov,Assoc-acdm
Private,Some-college
Private,Assoc-acdm
Private,HS-grad
Local-gov,Some-college
Private,HS-grad
Private,HS-grad
Private,5th-6th
Private,Masters
Private,HS-grad
Private,HS-grad
Private,HS-grad
Private,Some-college
?,9th
State-gov,HS-grad
Private,Some-college
?,Bachelors
Private,HS-grad
Self-emp-inc,Some-college
Private,10th
Private,Some-college
Private,11th
Private,Some-college
?,HS-grad
State-gov,Some-college
Private,HS-grad
Private,Some-college
Private,Some-college
Private,12th
Private,Some-college
Private,Masters
Private,11th
Private,Bachelors
Self-emp-inc,Some-college
Private,Some-college
Local-gov,HS-grad
?,11th
Local-gov,Bachelors
?,Bachelors
Private,Bachelors
Self-emp-inc,Bachelors
State-gov,Masters
Self-emp-not-inc,Assoc-acdm
Private,HS-grad
Private,Bachelors
Private,Bachelors
Private,Bachelors
Local-gov,Masters
Private,HS-grad
Private,7th-8th
State-gov,Some-college
Private,HS-grad
Private,Some-college
Self-emp-inc,HS-grad
Private,HS-grad
Private,Bachelors
Private,11th
Local-gov,Masters
Private,11th
Private,HS-grad
Private,Some-college
Private,HS-grad
Private,Some-college
Self-emp-not-inc,HS-grad
Private,10th
Private,Masters
Self-emp-not-inc,HS-grad
?,HS-grad
State-gov,HS-grad
Private,HS-grad
Private,HS-grad
Private,Masters
Private,Some-college
Private,HS-grad
Self-emp-not-inc,Prof-school
Local-gov,Masters
Private,HS-grad
Private,HS-grad
Private,Bachelors
Self-emp-not-inc,HS-grad
Private,HS-grad
Self-emp-not-inc,HS-grad
Private,Masters
Private,HS-grad
Private,Some-college
Self-emp-inc,Some-college
Private,9th
Federal-gov,Bachelors
Local-gov,Some-college
Self-emp-not-inc,HS-grad
Private,11th
Local-gov,HS-grad
Private,Assoc-acdm
State-gov,Masters
?,Some-college
Private,Assoc-acdm
Local-gov,HS-grad
State-gov,Assoc-voc
Private,Some-college
Private,Some-college
Private,Bachelors
?,Bachelors
Private,HS-grad
?,10th
Private,HS-grad
Self-emp-not-inc,Bachelors
Private,Masters
Private,Assoc-acdm
Federal-gov,Assoc-voc
State-gov,Doctorate
Private,12th
Private,HS-grad
Private,HS-grad
Private,Assoc-voc
Local-gov,Some-college
Private,9th
Self-emp-inc,Bachelors
State-gov,Masters
Private,Some-college
State-gov,HS-grad
?,HS-grad
Private,HS-grad
Local-gov,HS-grad
Private,Some-college
Private,Some-college
Private,Some-college
Private,Assoc-acdm
Self-emp-not-inc,HS-grad
?,Assoc-voc
Private,Bachelors
Private,Some-college
Private,Bachelors
Private,HS-grad
Private,Some-college
Private,Bachelors
Private,Assoc-acdm
Self-emp-not-inc,Masters
Private,Bachelors
Self-emp-inc,Bachelors
Self-emp-not-inc,HS-grad
Private,Bachelors
Private,HS-grad
Private,Some-college
Private,11th
Private,Assoc-voc
Private,Some-college
Private,Bachelors
Self-emp-not-inc,Some-college
Private,HS-grad
Private,HS-grad
Local-gov,Prof-school
Self-emp-not-inc,HS-grad
Private,Bachelors
Private,HS-grad
Private,Bachelors
Self-emp-not-inc,HS-grad
Private,Assoc-acdm
Private,Bachelors
Private,HS-grad
Private,HS-grad
Private,HS-grad
Private,Masters
Private,Some-college
Private,10th
Self-emp-not-inc,12th
Private,Assoc-acdm
Self-emp-not-inc,HS-grad
Local-gov,Assoc-voc
Self-emp-not-inc,HS-grad
Self-emp-not-inc,Masters
Private,HS-grad
Private,9th
Private,Assoc-voc
Private,11th
Private,HS-grad
Private,HS-grad
Local-gov,HS-grad
Local-gov,12th
Private,Bachelors
Private,Assoc-voc
Private,Some-college
Private,Bachelors
Self-emp-inc,Some-college
Self-emp-inc,Some-college
Self-emp-not-inc,Assoc-voc
Private,HS-grad
Private,HS-grad
Private,HS-grad
Private,HS-grad
Private,HS-grad
Private,Bachelors
Private,1st-4th
Private,HS-grad
Private,Bachelors
Private,Some-college
Local-gov,Some-college
Private,Some-college
Private,Bachelors
Private,Some-college
Private,HS-grad
Private,Masters
Private,Some-college
Private,Doctorate
Self-emp-not-inc,HS-grad
Private,HS-grad
Local-gov,Masters
Private,Bachelors
Private,Assoc-voc
Private,Bachelors
Private,Bachelors
Local-gov,Assoc-acdm
Private,9th
Local-gov,Some-college
Private,HS-grad
Private,HS-grad
Private,HS-grad
?,Bachelors
Private,Masters
Private,10th
Private,Assoc-voc
Private,Some-college
?,Some-college
Private,Assoc-acdm
State-gov,Some-college
Private,Some-college
Local-gov,Assoc-acdm
Local-gov,Some-college
Federal-gov,Some-college
Private,HS-grad
Self-emp-not-inc,HS-grad
Local-gov,Assoc-voc
Private,HS-grad
Private,Masters
Self-emp-inc,Masters
Private,HS-grad
Private,Bachelors
State-gov,Some-college
Self-emp-inc,Bachelors
?,HS-grad
Private,HS-grad
Private,HS-grad
Private,Assoc-voc
Private,HS-grad
Private,10th
?,HS-grad
?,HS-grad
Private,HS-grad
Private,Masters
Private,HS-grad
Local-gov,HS-grad
Self-emp-inc,Bachelors
Private,10th
Private,HS-grad
Private,HS-grad
Private,HS-grad
Private,HS-grad
Private,Bachelors
Private,Bachelors
State-gov,Prof-school
Private,Bachelors
Private,HS-grad
Private,Bachelors
Private,Doctorate
Local-gov,Assoc-acdm
Private,Bachelors
Self-emp-not-inc,Some-college
Private,Bachelors
Private,HS-grad
Federal-gov,Masters
Private,HS-grad
Private,HS-grad
Private,Assoc-voc
Private,HS-grad
Private,Bachelors
Private,Assoc-voc
?,Bachelors
Private,Assoc-voc
Private,Some-college
Self-emp-inc,10th
Private,10th
Private,Assoc-voc
Federal-gov,10th
Private,Bachelors
Private,HS-grad
Private,Bachelors
Private,Assoc-voc
Private,HS-grad
Federal-gov,Some-college
Private,HS-grad
Private,Masters
State-gov,Bachelors
Private,HS-grad
?,Masters
Private,Some-college
Private,11th
Private,Some-college
Private,HS-grad
Private,HS-grad
Local-gov,HS-grad
Private,HS-grad
Private,Some-college
Self-emp-not-inc,HS-grad
Private,Some-college
Private,Bachelors
Private,HS-grad
State-gov,HS-grad
Private,HS-grad
Private,Some-college
Private,10th
Local-gov,Bachelors
Private,Some-college
Private,HS-grad
Private,HS-grad
Local-gov,Bachelors
Self-emp-inc,HS-grad
Private,Bachelors
Private,Some-college
Private,HS-grad
Self-emp-not-inc,HS-grad
Private,Some-college
Local-gov,Bachelors
Private,Some-college
Local-gov,12th
Private,Assoc-voc
Private,Assoc-voc
Private,HS-grad
Self-emp-inc,Assoc-acdm
?,9th
Private,Bachelors
?,11th
Private,Some-college
?,HS-grad
Private,HS-grad
Private,Some-college
Private,10th
Private,Some-college
Self-emp-not-inc,Some-college
Private,Bachelors
Private,HS-grad
Private,10th
Federal-gov,Assoc-voc
Private,11th
Federal-gov,Some-college
State-gov,Some-college
?,1st-4th
Private,10th
Private,Masters
Local-gov,HS-grad
Private,HS-grad
Private,Assoc-acdm
Private,Some-college
Private,Bachelors
Private,Some-college
Private,Some-college
Self-emp-not-inc,5th-6th
Private,HS-grad
Private,Some-college
Local-gov,Masters
Private,Some-college
Self-emp-not-inc,1st-4th
Local-gov,Masters
Federal-gov,Bachelors
Local-gov,Some-college
Local-gov,HS-grad
State-gov,HS-grad
Private,Bachelors
Local-gov,Assoc-voc
Self-emp-not-inc,5th-6th
Local-gov,Some-college
Private,HS-grad
Private,HS-grad
Private,11th
Private,Some-college
Private,Some-college
Private,Bachelors
Local-gov,HS-grad
Private,HS-grad
Self-emp-not-inc,Bachelors
Private,Bachelors
Private,Some-college
Private,HS-grad
Private,Some-college
Self-emp-not-inc,HS-grad
Private,Assoc-voc
Private,Some-college
Private,HS-grad
Private,HS-grad
Local-gov,Assoc-voc
Private,HS-grad
Private,7th-8th
Private,Some-college
Private,Bachelors
Private,Some-college
Private,HS-grad
Private,Some-college
Self-emp-not-inc,HS-grad
Private,HS-grad
Private,HS-grad
Private,Some-college
?,Some-college
Private,Bachelors
Local-gov,Masters
Private,HS-grad
?,HS-grad
Private,Assoc-voc
Private,HS-grad
Private,Some-college
Private,10th
Private,11th
Private,Prof-school
Private,HS-grad
State-gov,Some-college
Private,HS-grad
Private,Bachelors
Private,Bachelors
Private,11th
Private,Some-college
Private,10th
Private,Prof-school
Private,HS-grad
Private,HS-grad
Private,HS-grad
Federal-gov,HS-grad
Self-emp-not-inc,HS-grad
Private,10th
Private,Some-college
Private,Masters
Private,HS-grad
Private,Bachelors
Private,HS-grad
Private,HS-grad
Private,10th
Private,HS-grad
Self-emp-inc,Some-college
Private,HS-grad
Private,HS-grad
Private,HS-grad
Private,Some-college
Private,Bachelors
Private,Masters
?,HS-grad
Private,11th
Private,HS-grad
Private,HS-grad
Private,11th
State-gov,Some-college
Private,HS-grad
Private,Some-college
Private,HS-grad
Local-gov,HS-grad
Self-emp-not-inc,10th
Private,HS-grad
Private,11th
Self-emp-not-inc,HS-grad
Private,11th
Private,HS-grad
Local-gov,Bachelors
Private,HS-grad
Private,Some-college
Private,Some-college
Local-gov,Masters
Private,Some-college
Private,HS-grad
Private,7th-8th
Private,Bachelors
Private,Bachelors
Private,Some-college
Private,10th
Private,10th
Self-emp-not-inc,Some-college
Private,HS-grad
Local-gov,HS-grad
Self-emp-not-inc,HS-grad
Self-emp-not-inc,Some-college
State-gov,HS-grad
Local-gov,Bachelors
Private,HS-grad
Private,Bachelors
Self-emp-inc,Assoc-voc
Private,Assoc-acdm
Private,Some-college
Local-gov,Some-college
Private,Bachelors
Private,HS-grad
Private,Bachelors
Self-emp-not-inc,HS-grad
Private,11th
Private,Some-college
Self-emp-not-inc,Assoc-voc
?,12th
Self-emp-inc,7th-8th
?,HS-grad
Self-emp-not-inc,10th
Self-emp-not-inc,Masters
Local-gov,10th
Private,11th
Local-gov,Bachelors
Private,Some-college
Private,HS-grad
Self-emp-not-inc,Bachelors
Self-emp-not-inc,HS-grad
Self-emp-not-inc,Bachelors
Private,HS-grad
Private,HS-grad
Private,Some-college
Local-gov,Bachelors
Private,Some-college
Private,Masters
Self-emp-not-inc,Bachelors
Self-emp-not-inc,HS-grad
Private,Bachelors
Private,HS-grad
Federal-gov,Assoc-acdm
Private,HS-grad
Federal-gov,Doctorate
Private,Masters
Federal-gov,Bachelors
Private,Some-college
Private,HS-grad
Private,HS-grad
Private,HS-grad
Private,Some-college
Private,10th
Private,HS-grad
Private,HS-grad
Private,7th-8th
Self-emp-inc,Bachelors
Private,HS-grad
Local-gov,Some-college
Private,HS-grad
Private,7th-8th
Private,7th-8th
Self-emp-not-inc,HS-grad
Private,HS-grad
Private,HS-grad
Private,HS-grad
Private,Bachelors
Self-emp-inc,Assoc-voc
Private,Some-college
Self-emp-not-inc,Some-college
Private,HS-grad
Self-emp-not-inc,HS-grad
Local-gov,HS-grad
Private,Assoc-voc
Private,Some-college
Private,HS-grad
State-gov,Doctorate
?,HS-grad
Private,Bachelors
Private,HS-grad
Local-gov,11th
Private,Bachelors
Private,7th-8th
Private,HS-grad
Self-emp-not-inc,HS-grad
Private,HS-grad
Self-emp-not-inc,Some-college
Local-gov,Bachelors
?,10th
Private,11th
Private,Assoc-voc
Private,Some-college
Private,Some-college
Private,Assoc-acdm
Private,HS-grad
State-gov,Some-college
Private,9th
Private,HS-grad
Private,Bachelors
?,Bachelors
Private,10th
?,11th
Self-emp-not-inc,Prof-school
Private,Bachelors
Local-gov,Some-college
Private,Bachelors
Private,HS-grad
Self-emp-not-inc,Some-college
Private,Assoc-acdm
Private,HS-grad
Private,Bachelors
Private,Bachelors
Private,HS-grad
Self-emp-not-inc,HS-grad
Private,Some-college
Private,Some-college
Private,12th
Self-emp-inc,HS-grad
Private,Some-college
Private,HS-grad
Private,Bachelors
Private,HS-grad
Private,Assoc-voc
Local-gov,Doctorate
Private,Some-college
?,HS-grad
Private,Bachelors
?,HS-grad
Private,Assoc-acdm
Private,Bachelors
Self-emp-inc,Some-college
Private,Some-college
?,11th
?,Some-college
Private,Masters
Private,Assoc-voc
Private,Bachelors
State-gov,HS-grad
Private,Masters
Private,Some-college
Private,Bachelors
Private,7th-8th
Private,Masters
?,HS-grad
Private,HS-grad
Private,Assoc-acdm
Private,HS-grad
State-gov,Some-college
Private,Bachelors
Private,HS-grad
Private,Some-college
Self-emp-not-inc,Some-college
Private,HS-grad
Private,Assoc-voc
Private,Some-college
?,Assoc-acdm
Private,Masters
Federal-gov,Some-college
State-gov,Masters
Local-gov,Bachelors
Self-emp-inc,HS-grad
Private,Some-college
Private,Doctorate
Private,HS-grad
Private,HS-grad
Private,HS-grad
Private,Some-college
Private,Bachelors
Private,Some-college
Private,Assoc-acdm
?,Some-college
Private,11th
Private,Bachelors
Private,HS-grad
Self-emp-inc,Doctorate
Self-emp-not-inc,Masters
Self-emp-not-inc,9th
Private,HS-grad
Private,HS-grad
Self-emp-not-inc,Masters
Private,HS-grad
Private,HS-grad
Private,HS-grad
Private,9th
Self-emp-not-inc,Some-college
Private,HS-grad
Self-emp-not-inc,Assoc-acdm
Local-gov,HS-grad
Private,HS-grad
Private,Some-college
Private,Some-college
Private,Bachelors
Private,Assoc-voc
Private,Some-college
Private,12th
Private,HS-grad
Private,5th-6th
Private,Bachelors
Private,HS-grad
Private,Bachelors
Private,Some-college
Private,10th
?,11th
Private,Assoc-voc
Private,Bachelors
Private,HS-grad
Self-emp-inc,HS-grad
Local-gov,Some-college
Self-emp-inc,Masters
?,Masters
Private,HS-grad
Private,Some-college
Private,Bachelors
Self-emp-inc,Bachelors
State-gov,Doctorate
Private,10th
Private,HS-grad
Private,Masters
Private,Some-college
Private,Bachelors
State-gov,HS-grad
Private,Some-college
Private,7th-8th
Private,HS-grad
Private,HS-grad
Private,Bachelors
Private,Assoc-acdm
Local-gov,Bachelors
Private,HS-grad
Private,Some-college
Private,10th
Private,Assoc-acdm
Self-emp-inc,Bachelors
Local-gov,Masters
Private,HS-grad
Private,HS-grad
Private,11th
Private,11th
Self-emp-not-inc,Bachelors
Private,Prof-school
Private,HS-grad
Private,HS-grad
Private,12th
Private,HS-grad
Self-emp-not-inc,Assoc-voc
Private,10th
Private,Some-college
Private,Some-college
Private,HS-grad
Private,HS-grad
Private,10th
Private,Bachelors
Private,Assoc-voc
Private,HS-grad
Private,HS-grad
Private,Bachelors
Local-gov,10th
Private,Assoc-acdm
Self-emp-not-inc,Some-college
Private,HS-grad
Private,HS-grad
Private,10th
Private,Some-college
Federal-gov,Some-college
Private,Some-college
Private,10th
Self-emp-not-inc,Assoc-voc
Private,HS-grad
Private,HS-grad
Private,Bachelors
Self-emp-not-inc,HS-grad
Private,HS-grad
Private,9th
Private,HS-grad
Local-gov,Doctorate
Federal-gov,Bachelors
Private,Bachelors
Private,Bachelors
Private,11th
Private,HS-grad
Private,7th-8th
Private,Masters
Private,Some-college
Self-emp-not-inc,HS-grad
Private,Bachelors
Local-gov,Masters
Private,Bachelors
Private,Some-college
Private,Some-college
Private,Bachelors
Private,HS-grad
Private,Some-college
Private,Some-college
Private,5th-6th
Private,Bachelors
Local-gov,HS-grad
Local-gov,HS-grad
Private,11th
Private,12th
?,Some-college
State-gov,Assoc-voc
Self-emp-inc,Bachelors
Private,Some-college
Private,Assoc-voc
Private,Some-college
Private,Bachelors
Private,HS-grad
Private,Bachelors
Self-emp-not-inc,HS-grad
Private,12th
Private,7th-8th
Private,Some-college
Private,HS-grad
Private,HS-grad
Private,Bachelors
Private,Bachelors
?,Assoc-acdm
Private,HS-grad
Private,Some-college
Private,HS-grad
?,Some-college
Private,Assoc-acdm
?,Some-college
Private,Bachelors
Private,HS-grad
Private,HS-grad
Private,HS-grad
Private,Bachelors
Self-emp-not-inc,1st-4th
Self-emp-inc,Some-college
?,Assoc-voc
Self-emp-not-inc,Bachelors
Private,Assoc-voc
State-gov,Bachelors
Private,12th
Private,Some-college
?,Assoc-acdm
Local-gov,HS-grad
Private,12th
Private,HS-grad
Private,Bachelors
Private,HS-grad
?,Some-college
Private,HS-grad
?,7th-8th
Private,Some-college
Private,Assoc-acdm
Self-emp-not-inc,Bachelors
Self-emp-not-inc,9th
Self-emp-inc,Masters
Private,Some-college
?,HS-grad
Private,Doctorate
Private,Some-college
Private,Bachelors
Self-emp-not-inc,HS-grad
Private,HS-grad
Self-emp-not-inc,HS-grad
Private,Bachelors
Private,Masters
Local-gov,Masters
Private,Assoc-voc
Private,Some-college
Local-gov,Some-college
Private,Masters
Private,Masters
Private,Assoc-acdm
Private,HS-grad
Private,HS-grad
Self-emp-not-inc,HS-grad
Local-gov,HS-grad
Private,Some-college
Private,HS-grad
Private,Bachelors
Private,Some-college
Private,11th
Private,Bachelors
?,Some-college
Private,HS-grad
Private,Some-college
Self-emp-not-inc,HS-grad
?,9th
Local-gov,Bachelors
Private,Some-college
Private,Bachelors
?,HS-grad
Without-pay,HS-grad
Private,Some-college
Local-gov,Assoc-voc
Private,HS-grad
Private,10th
Private,HS-grad
Federal-gov,Bachelors
Private,Assoc-voc
Private,Bachelors
Federal-gov,Masters
Local-gov,HS-grad
Private,HS-grad
Private,11th
Private,HS-grad
Private,Some-college
Self-emp-inc,7th-8th
State-gov,Masters
Self-emp-not-inc,HS-grad
State-gov,HS-grad
Private,Some-college
Private,Masters
?,10th
Self-emp-not-inc,Assoc-acdm
Private,Assoc-acdm
Private,Assoc-voc
Private,Masters
?,Some-college
Private,7th-8th
Local-gov,Assoc-voc
Private,7th-8th
Private,Some-college
Private,Bachelors
?,Some-college
Private,HS-grad
Private,HS-grad
Private,Some-college
Private,Assoc-voc
Federal-gov,HS-grad
Private,12th
Private,Some-college
Private,Some-college
Private,HS-grad
Private,7th-8th
Private,HS-grad
Self-emp-not-inc,HS-grad
Private,Some-college
Local-gov,HS-grad
Local-gov,Masters
Federal-gov,Some-college
Private,7th-8th
Private,HS-grad
Self-emp-not-inc,Bachelors
Private,Masters
Private,Bachelors
Private,HS-grad
Private,HS-grad
Private,Assoc-voc
Local-gov,Bachelors
Private,Bachelors
Federal-gov,HS-grad
Private,HS-grad
Private,Prof-school
Private,Assoc-voc
Private,Assoc-voc
Private,10th
Private,9th
Local-gov,Bachelors
Private,Some-college
Private,Some-college
Private,Bachelors
Private,Assoc-voc
Federal-gov,Some-college
Self-emp-not-inc,Some-college
Private,Some-college
Private,HS-grad
Local-gov,Bachelors
Private,Some-college
Private,Masters
Private,Some-college
Self-emp-inc,Bachelors
Private,Assoc-voc
Private,Some-college
State-gov,Assoc-acdm
Private,HS-grad
Private,Some-college
Private,7th-8th
?,Some-college
Private,Masters
?,11th
Self-emp-inc,Prof-school
Self-emp-inc,Bachelors
Private,Some-college
Private,Bachelors
Private,Bachelors
Private,HS-grad
Self-emp-not-inc,Masters
Private,Assoc-acdm
Self-emp-not-inc,Prof-school
Private,1st-4th
Private,7th-8th
Local-gov,Assoc-voc
Private,HS-grad
Private,Bachelors
Self-emp-not-inc,Masters
Private,HS-grad
Private,HS-grad
Private,7th-8th
Private,10th
Local-gov,HS-grad
Private,11th
Local-gov,HS-grad
Local-gov,HS-grad
Federal-gov,HS-grad
Self-emp-not-inc,10th
?,Some-college
Private,HS-grad
Private,Some-college
State-gov,Some-college
?,HS-grad
Private,Some-college
Private,Doctorate
Private,HS-grad
Private,Some-college
Self-emp-inc,Assoc-acdm
Private,Bachelors
Private,HS-grad
Private,Some-college
Private,Masters
Self-emp-not-inc,Prof-school
Self-emp-not-inc,Assoc-acdm
Private,HS-grad
Private,HS-grad
?,Masters
Private,HS-grad
Private,Some-college
Self-emp-inc,Bachelors
State-gov,Some-college
State-gov,Bachelors
Private,HS-grad
Self-emp-not-inc,Bachelors
Private,HS-grad
Private,Bachelors
Private,Some-college
Federal-gov,Some-college
State-gov,Doctorate
Private,Bachelors
Private,Some-college
Private,HS-grad
Private,HS-grad
Local-gov,Masters
Private,HS-grad
Private,Prof-school
Private,11th
Private,HS-grad
?,Masters
Private,Some-college
Private,Bachelors
Private,Some-college
Private,10th
Private,Bachelors
Private,Some-college
Self-emp-not-inc,HS-grad
Private,Some-college
Private,HS-grad
Private,11th
Private,Some-college
Private,Some-college
Private,Bachelors
State-gov,HS-grad
Private,HS-grad
Private,Masters
Private,12th
State-gov,HS-grad
Self-emp-not-inc,9th
Local-gov,Bachelors
Federal-gov,Some-college
Private,Assoc-voc
State-gov,10th
Private,11th
Private,Bachelors
Self-emp-not-inc,Some-college
Local-gov,HS-grad
Private,Bachelors
Private,HS-grad
Self-emp-inc,HS-grad
Private,Some-college
Local-gov,HS-grad
Private,Some-college
Private,HS-grad
Private,Assoc-voc
Private,HS-grad
Private,Some-college
Private,10th
?,Bachelors
Private,11th
Private,Bachelors
?,HS-grad
Private,Some-college
?,Bachelors
Private,Some-college
Self-emp-not-inc,Some-college
Private,HS-grad
Private,Some-college
Local-gov,Masters
Private,11th
Local-gov,Assoc-voc
Private,Some-college
Private,HS-grad
Private,HS-grad
Federal-gov,Bachelors
State-gov,Masters
Private,Bachelors
Self-emp-inc,Doctorate
Private,HS-grad
Private,Some-college
Private,Bachelors
Private,9th
Private,HS-grad
?,Some-college
Private,Bachelors
Private,11th
Private,HS-grad
Private,Some-college
Private,Some-college
Local-gov,Bachelors
Private,Bachelors
Private,10th
Private,HS-grad
Private,HS-grad
?,Some-college
Private,HS-grad
Private,Some-college
Federal-gov,Some-college
Self-emp-not-inc,HS-grad
Self-emp-not-inc,Assoc-voc
Private,HS-grad
Federal-gov,Bachelors
Private,HS-grad
Self-emp-not-inc,7th-8th
Private,Some-college
Private,Some-college
?,Some-college
Private,10th
Local-gov,HS-grad
Private,Bachelors
Private,Bachelors
Private,7th-8th
Private,HS-grad
?,Bachelors
Private,HS-grad
Federal-gov,Assoc-acdm
Private,Masters
Private,11th
Private,Bachelors
Private,HS-grad
Private,Bachelors
Local-gov,Bachelors
Private,Bachelors
Private,HS-grad
Private,11th
?,Prof-school
Private,Masters
Private,HS-grad
Private,Bachelors
Never-worked,11th
Local-gov,HS-grad
Private,HS-grad
Private,Some-college
Private,Some-college
Private,5th-6th
Private,Some-college
Self-emp-not-inc,HS-grad
Private,Some-college
Private,Some-college
Private,Some-college
Private,Bachelors
Local-gov,7th-8th
Private,Some-college
Private,12th
Self-emp-not-inc,HS-grad
Private,HS-grad
State-gov,Some-college
Federal-gov,HS-grad
Private,HS-grad
Private,11th
Private,9th
Private,Some-college
Self-emp-not-inc,HS-grad
Self-emp-inc,HS-grad
Local-gov,Some-college
Private,Some-college
Private,Some-college
Private,HS-grad
Private,Prof-school
Private,Bachelors
Local-gov,Bachelors
Self-emp-inc,Bachelors
Private,Bachelors
Private,HS-grad
Private,9th
Private,HS-grad
Self-emp-not-inc,11th
Private,HS-grad
Self-emp-not-inc,Prof-school
Private,Some-college
Private,Some-college
Private,11th
Private,Some-college
Private,Bachelors
Private,HS-grad
Private,Bachelors
Private,Assoc-voc
Local-gov,Assoc-acdm
Private,Masters
Private,Bachelors
Self-emp-not-inc,Some-college
Self-emp-not-inc,Assoc-voc
Private,Some-college
Local-gov,Some-college
Private,11th
Federal-gov,Masters
Private,HS-grad
Private,Assoc-acdm
?,12th
Private,HS-grad
Private,12th
?,Some-college
Private,HS-grad
Self-emp-not-inc,Some-college
Private,HS-grad
Private,Bachelors
Private,5th-6th
Private,HS-grad
Private,Assoc-voc
Private,Masters
Federal-gov,HS-grad
Private,Some-college
Private,HS-grad
Self-emp-not-inc,Prof-school
Self-emp-inc,9th
Local-gov,Masters
Private,Bachelors
Private,Assoc-acdm
Private,7th-8th
Self-emp-inc,Masters
Private,10th
Private,11th
Self-emp-not-inc,HS-grad
Private,5th-6th
Self-emp-not-inc,Some-college
Private,Doctorate
Private,Masters
Private,HS-grad
Private,HS-grad
Private,Some-college
Private,Some-college
Self-emp-not-inc,Some-college
Private,9th
Self-emp-not-inc,HS-grad
Private,Some-college
Private,HS-grad
?,HS-grad
Self-emp-inc,HS-grad
?,HS-grad
Private,HS-grad
Private,HS-grad
Private,12th
Private,Preschool
Private,Prof-school
Private,Prof-school
Private,Some-college
Private,Masters
Private,Some-college
Private,Some-college
Private,Some-college
Private,11th
Private,HS-grad
Self-emp-not-inc,HS-grad
Private,Some-college
State-gov,Some-college
Private,Some-college
Federal-gov,HS-grad
Private,9th
Self-emp-not-inc,HS-grad
Private,HS-grad
Self-emp-inc,HS-grad
Local-gov,Bachelors
State-gov,10th
Private,Bachelors
Local-gov,Some-college
Self-emp-not-inc,HS-grad
Self-emp-not-inc,7th-8th
Private,Prof-school
Private,Some-college
Private,Some-college
Private,HS-grad
Private,Assoc-voc
Private,11th
Private,Some-college
Private,HS-grad
Federal-gov,Bachelors
?,HS-grad
Private,HS-grad
Private,HS-grad
Private,Bachelors
Private,HS-grad
Self-emp-not-inc,Assoc-voc
?,7th-8th
Private,11th
Private,HS-grad
